source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
309238066432,44.99503714416301,0.03815169755425531,1.383149618921834,0.3679067,0.98569405,19.597301,20.723095,18.37631,2.3467846
966367933184,45.039080477403814,0.08685485276440565,1.4676968712367453,0.45979142,0.9514274,19.956306,21.291588,18.797619,2.493969
2199023292160,45.08136214897889,0.08170847223169289,-0.09250712892078049,1.2214756,1.3595237,20.613228,21.524998,19.292406,2.2325916
2748779106176,45.1404854508547,0.12084510799934471,1.1404507516837725,0.46432942,1.0788702,19.692509,20.591478,18.524254,2.0672245
3062312520192,45.116651051406684,0.14472045066687067,0.661107615863694,0.041058745,1.060455,15.18222,15.5450535,14.639991,0.9050627
3745211647360,45.06163836126676,0.17097450493568306,1.0158312445511235,0.3475322,1.0601393,19.234808,20.40415,18.17932,2.2248306
4501125792384,44.910234739262464,0.09534271659524035,,,,20.858194,20.800114,19.994747,0.8053665
5119601441536,44.99353521012285,0.1490060261817294,1.6413444664219872,0.26460287,1.0644165,19.159203,20.502457,17.997396,2.5050602
7559142613632,45.04550888502845,0.22953216375600957,2.3145299061537177,0.4296402,1.1036613,19.308731,20.376328,18.12619,2.2501373
8349416602368,45.0028773702854,0.2554454889922679,0.3054858230016009,0.22769442,1.0805664,18.921555,19.45925,18.297836,1.1614132
9895604817280,45.132907101463374,0.1939037323167622,,,,21.411066,21.217443,19.187319,2.0301247
10582799456768,45.199617926316016,0.25187864662361803,0.8887947115475248,0.51507163,1.0904868,19.88711,20.861635,18.765333,2.096302
11613591576960,45.296316602767526,0.2808375686968578,1.1232687731410658,0.39149627,1.003571,19.441694,20.513592,18.464191,2.0494003
11854110627968,45.29554345485595,0.29465992492659876,,,,,,19.575594,
13812615008896,45.11607094930181,0.2843310527813741,1.0441102653604892,0.19874431,1.1011435,18.507069,19.443983,17.459433,1.9845505
14362370820224,45.02954964267921,0.2758722792265886,,,,20.81922,21.61475,20.816607,0.7981434
16531329957376,45.14136310917188,0.359598094469785,8.537190166312449,0.019723415,0.9737248,10.0337925,10.359525,9.538733,0.8207922
